index,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,y
1747,144000.0,11,47,31,0.0,44,0.0,12375.98259,16,6,0.0,2,47,17,6,14,7,1584.0,3630.0,528.0,1
1604,8308.0,4,49,2,0.0,49,1259.5,904.9186047,10,4,0.0,1,49,3,3,0,2,663.0,629.0,85.0,1
4996,63545.79,13,118,79,0.0,72,3687.076923,2842.571429,36,13,9516.79,4,118,28,13,26,24,1276.0,4036.8,498.8,0
5824,38000.0,2,282,48,14.55,43,1598.571429,1370.263158,10,14,500.0,10,88,6,5,20,30,360.0,1083.64,85.45,1
7197,25000.06,5,348,114,0.0,79,30710.84,44284.73404,20,31,0.55,9,237,1,1,29,25,583.0,2247.2,241.15,1
2396,14100.0,12,126,87,0.0,72,1932.777778,1431.666667,58,13,0.0,3,126,27,10,37,35,1026.0,2764.5,413.25,1
3412,7280.06,31,155,89,0.0,43,758.8235294,748.75,98,14,2139.04,6,155,0,0,1,1,37.0,57.86,15.0,0
2513,11620.45,11,82,44,0.0,63,3645.454545,8632.408163,35,6,4577.06,6,81,1,0,0,0,4074.0,12163.8,1047.6,0
767,26508.1,6,694,243,0.0,116,4765.227273,4418.217303,37,58,3999.1,11,412,57,41,112,114,7097.0,20812.83,1707.14,1
5552,30023.0,5,139,72,8.7,25,9007.666667,15171.625,21,15,23.0,10,78,0,0,19,19,145.0,582.9,85.55,1
6729,4558.12,16,133,42,26.43,40,2140.0,1509.52381,42,28,8.12,9,86,17,7,36,37,823.5,1647.0,291.78,1
6781,63371.02,86,536,362,142.7,267,1860.0,1950.747423,254,21,62404.62,4,536,32,10,39,35,117014.0,347331.8,50515.8,0
7898,6301.5,6,119,84,0.0,78,758.3333333,1214.166667,14,6,1869.5,5,119,23,7,31,37,1248.0,5376.0,352.0,0
6140,42150.0,7,88,35,0.0,29,384.6153846,1532.55814,35,13,34850.0,7,79,21,16,18,18,2121.0,4734.38,1022.62,0
1732,13240.0,-88888,138,-88888,0.0,138,4891.506849,3014.775281,24,12,200.0,1,138,10,10,2,7,210.0,924.0,84.0,1
2269,82640.9,4,89,53,0.0,60,1000.0,1785.27027,14,6,3365.9,3,89,3,0,1,4,40.5,249.75,15.75,1
6066,25022.5,2,73,51,0.0,42,1837.5,1525.692308,3,0,422.5,4,73,25,9,28,32,1215.0,3272.4,24.3,0
7612,109640.04,20,462,169,42.58,99,1986.363636,4748.641975,44,27,6600.04,12,330,16,7,19,24,1022.0,3059.92,322.42,1
5083,150807.82,10,86,44,0.0,62,2958.214286,3896.973684,32,7,25492.47,4,86,12,9,10,9,712.0,2830.2,329.3,0
3279,369000.0,6,46,24,0.0,32,25250.0,28058.33333,18,6,40500.0,3,46,3,1,3,3,170.5,465.0,73.62,0
6927,40151.29,-88888,31,4,0.0,12,-88888.0,2488.787879,1,2,14.29,5,31,3,3,4,6,36.0,186.0,7.5,1
2589,16004.0,-88888,17,-88888,0.0,13,6147.058824,6347.826087,5,3,0.0,6,17,4,4,3,4,6.0,56.0,9.0,1
6204,41.42,0,631,128,0.0,0,-88888.0,-88888.0,4,41,41.42,7,488,0,-88888,6,7,18585.0,49442.0,3038.5,1
2872,48500.0,13,111,45,0.0,111,6018.974359,4607.06422,18,4,3975.0,2,111,24,16,15,17,476.0,1232.0,93.33,1
6134,0.0,2,31,12,0.0,3,850.0,1050.0,4,3,0.0,11,14,1,0,4,10,64.0,188.0,44.0,1
4298,63655.0,2,82,19,0.0,41,3588.888889,8752.12766,11,16,46155.0,9,54,7,3,16,18,262.5,1391.25,262.5,0
4064,80000.0,13,70,42,0.0,64,14285.71429,34334.88372,29,8,34700.0,8,67,3,1,0,3,409.5,962.0,199.33,1
3362,10000.0,4,53,15,10.0,5,-88888.0,88.88888889,27,31,0.0,12,27,0,0,4,2,78.0,219.0,38.5,0
6548,16735.0,4,50,40,0.0,15,1866.666667,928.5714286,21,12,2005.0,7,48,13,10,17,15,3958.5,12687.5,1979.25,0
7075,87006.75,3,57,35,0.0,20,4650.0,2760.8,26,8,42006.75,8,53,2,1,7,7,456.0,1628.57,496.71,0
5350,15492.94,13,58,32,0.0,36,721.4285714,1116.470588,52,21,292.94,4,58,13,10,6,12,800.0,1680.0,320.0,0
1509,20026.43,0,21,1,0.0,21,1226.666667,1186.976744,7,1,20026.43,1,21,12,12,6,9,2004.0,6179.0,584.5,0
4637,1513582.1,8,125,68,0.0,98,1657.368421,28752.51723,24,8,13292.28,5,125,40,31,24,30,1584.0,5749.33,498.67,0
5916,1000.0,-88888,2,0,0.0,1,-88888.0,1428.571429,2,3,900.0,5,2,1,1,1,3,6.0,19.5,2.25,1
7758,205329.47,10,541,315,0.0,205,1179.636364,3930.996446,29,15,156906.47,6,541,7,2,14,17,3249.0,20886.43,769.5,0
49,40501.46,7,1386,189,2691.0,179,1358.636364,2545.227273,22,73,101.33,22,296,30,15,200,231,15444.0,62844.26,3454.04,0
1362,100200.0,1,15,0,0.0,15,3857.142857,4237.096774,3,1,0.0,1,15,13,13,9,8,38.0,199.5,14.25,1
1559,15000.0,4,20,10,0.0,20,525.7142857,824.8717949,12,4,100.0,2,20,21,20,16,15,88.0,315.33,44.0,1
971,80124.0,8,304,64,0.0,48,6101.666667,3450.0,32,34,80124.0,9,201,37,25,123,118,2748.5,11113.5,1511.68,0
6594,37715.0,18,273,125,0.0,68,1043.0,1085.466667,53,23,415.0,10,194,25,16,57,65,1000.0,3572.73,472.73,1
7380,17133.61,49,119,77,0.0,66,950.0,1790.013294,83,34,2583.61,6,119,18,10,24,17,4867.0,8164.0,1816.71,0
1630,6017.0,2,5,1,0.0,5,1280.0,6790.909091,4,-88888,1000.0,1,5,0,0,0,0,180.0,324.0,72.0,0
4133,71901.0,15,143,111,0.0,106,10569.18919,10569.18919,22,5,1.0,6,143,6,4,5,5,72.0,336.0,31.2,1
2719,250000.0,2,35,5,0.0,35,1420.0,8001.071429,12,1,1348.0,2,35,2,2,1,1,284.0,2934.67,284.0,1
4859,0.0,0,13,13,0.0,4,-88888.0,-88888.0,2,0,0.0,4,13,0,-88888,0,0,1.0,3.33,0.5,0
64,8000.0,27,298,102,0.0,50,3950.0,1528.0,63,52,0.0,10,228,54,13,109,155,3982.0,10300.55,2040.36,1
972,44274.08,34,386,201,0.0,156,3076.545455,2100.637681,67,44,18690.08,11,338,26,11,170,190,3580.5,16652.17,1728.68,1
1450,10150.0,3,39,30,0.0,37,0.0,8590.588235,6,4,6450.0,3,39,14,6,10,11,55.5,453.25,27.75,1
2892,7650.0,0,31,7,0.0,31,747.5,856.7647059,3,1,3170.0,2,31,3,1,3,3,15.0,39.0,1.5,1
4505,52783.88,9,851,130,18.55,96,-88888.0,13600.0,12,169,783.88,11,528,0,0,4,3,264.0,1366.91,253.36,1
5210,0.0,3,49,45,0.0,12,-88888.0,2857.142857,15,12,0.0,4,49,1,0,6,3,44.0,129.8,34.1,1
1360,50525.0,-88888,26,-88888,0.0,26,3235.333333,4170.119403,1,0,0.0,1,26,2,2,1,2,42.0,67.5,0.75,1
1664,70000.0,7,44,23,0.0,44,8025.0,4039.473684,15,3,100.0,2,44,9,7,7,3,960.0,1920.0,300.0,0
148,74827.18,14,413,319,0.0,247,4406.666667,2230.432099,42,18,11.18,5,413,36,9,60,68,4252.5,15872.5,463.75,1
6135,150428.85,0,31,8,0.0,6,18000.0,9795.652174,5,12,316.85,10,17,3,3,10,10,64.0,192.0,30.0,0
2488,40000.0,3,29,17,0.0,26,2115.384615,1445.454545,6,1,1200.0,6,29,29,8,18,20,471.0,2158.75,137.38,1
3112,24000.0,3,33,11,0.0,33,-88888.0,1310.714286,7,4,0.0,2,33,3,2,1,1,51.0,209.67,22.67,1
